CatID,OrgID,Type
22,4510,Discharge
22,4520,Discharge
22,4530,Discharge
22,4540,Discharge
22,4550,Discharge
22,4560,Discharge
22,4570,Discharge
22,4580,Discharge
22,4590,Discharge
22,4600,Discharge
22,4610,Discharge
22,4620,Discharge
22,4630,Discharge
22,4640,Discharge
22,4650,Discharge
22,4660,Discharge
22,4670,Discharge
22,4680,Discharge
22,4690,Discharge
22,4700,Discharge
22,4710,Discharge
22,4720,Discharge
22,4730,Discharge
22,4740,Discharge
23,4750,Discharge
23,4760,Discharge
23,4770,Discharge
23,4780,Discharge
23,4790,Discharge
23,4800,Discharge
23,4810,Discharge
23,4820,Discharge
23,4830,Discharge
23,4840,Discharge
23,4850,Discharge
51,4860,Discharge
23,4870,Discharge
23,4880,Discharge
23,4890,Discharge
23,4900,Discharge
23,4910,Discharge
23,4920,Discharge
23,4930,Discharge
23,4940,Discharge
23,4950,Discharge
23,4960,Discharge
35,4970,Discharge
23,4980,Discharge
23,4990,Discharge
23,5000,Discharge
23,5010,Discharge
23,5020,Discharge
23,5030,Discharge
23,5040,Discharge
23,5050,Discharge
23,5060,Discharge
23,5070,Discharge
23,5080,Discharge
23,5090,Discharge
23,5100,Discharge
45,5110,Discharge
23,5120,Discharge
23,5130,Discharge
23,5140,Discharge
23,5150,Discharge
23,5160,Discharge
23,5170,Discharge
23,5180,Discharge
23,5190,Discharge
23,5200,Discharge
23,5210,Discharge
23,5220,Discharge
23,5230,Discharge
23,5240,Discharge
23,5250,Discharge
23,5260,Discharge
23,5270,Discharge
7,5280,Discharge
7,5290,Discharge
24,5300,Discharge
24,5310,Discharge
24,5320,Discharge
25,5330,Discharge
25,5340,Discharge
25,5350,Discharge
25,5360,Discharge
25,5370,Discharge
25,5380,Discharge
25,5390,Discharge
25,5400,Discharge
25,5410,Discharge
25,5420,Discharge
25,5430,Discharge
25,5440,Discharge
25,5450,Discharge
25,5460,Discharge
25,5470,Discharge
25,5480,Discharge
25,5490,Discharge
25,5500,Discharge
25,5510,Discharge
25,5520,Discharge
25,5530,Discharge
25,5540,Discharge
25,5550,Discharge
25,5560,Discharge
25,5570,Discharge
25,5580,Discharge
25,5590,Discharge
25,5600,Discharge
25,5610,Discharge
25,5620,Discharge
25,5630,Discharge
25,5640,Discharge
25,5650,Discharge
25,5660,Discharge
25,5670,Discharge
25,5680,Discharge
25,5690,Discharge
25,5700,Discharge
25,5710,Discharge
25,5720,Discharge
25,5730,Discharge
25,5740,Discharge
25,5750,Discharge
25,5760,Discharge
25,5770,Discharge
25,5780,Discharge
25,5790,Discharge
25,5800,Discharge
25,5810,Discharge
25,5820,Discharge
25,5830,Discharge
25,5840,Discharge
25,5850,Discharge
25,5860,Discharge
34,5870,Discharge
25,5880,Discharge
25,5890,Discharge
25,5900,Discharge
25,5910,Discharge
25,5920,Discharge
25,5930,Discharge
25,5940,Discharge
25,5950,Discharge
25,5960,Discharge
25,5970,Discharge
25,5980,Discharge
